Property Size (sqft),Number of Bedrooms,Number of Bathrooms,Construction Year,Furnished,Median Household Income,Unemployment Rate,Population Density,Nearby School Quality Score,Distance to City Center (km),Distance to Nearest Park (km),Air Quality Index,Public Transport Access,Regional Price Growth (%),Historical Price Volatility,Selling Price (in $)
4617,3,3,2016,Fully,73.69,4.53,2877,Good,33.13,4.0,144.0,High,14.16,9.89,827057.7208215159
1177,1,3,2002,Partially,62.53,7.99,2689,Good,9.13,7.03,118.0,Low,2.24,9.36,410238.1616001284
3158,3,2,1966,Fully,33.57,7.28,9367,Excellent,19.85,9.5,54.0,High,-3.86,5.1,442678.58718254336
2528,1,2,2002,Partially,77.99,6.49,6730,,38.42,8.79,120.0,Low,5.42,2.0,600761.5831029582
4258,2,2,1977,Partially,88.05,5.33,6783,Average,15.0,1.27,153.0,High,-0.87,8.87,803144.9067776977
2537,5,3,2012,Partially,74.66,7.37,1855,Average,46.14,6.56,105.0,Low,3.53,9.3,619239.107727866
3149,2,3,1964,Partially,90.65,5.26,8717,Excellent,45.82,0.17,100.0,Medium,-2.97,2.54,2084803.6418740842
1156,4,1,1968,Fully,84.66,6.38,2150,Good,28.09,6.37,105.0,High,-3.08,8.95,576300.7345057012
665,4,3,2019,None,62.18,6.72,3458,Good,31.97,4.7,190.0,High,5.08,5.02,398481.7088757881
1089,1,3,1996,Partially,105.74,4.14,4957,Average,33.01,4.96,83.0,Low,1.72,1.1,450886.1823970373
3321,4,2,2020,None,79.82,4.72,6490,Good,13.66,5.92,149.0,High,-1.89,9.49,714301.3342749133
4758,2,1,1997,Fully,81.42,2.14,2182,Poor,18.9,7.45,102.0,High,6.61,1.39,860882.5714229038
1762,3,1,2022,Partially,60.1,8.82,2466,Excellent,7.66,7.32,52.0,High,-3.76,1.31,447171.9188529909
571,2,1,1969,Partially,51.81,8.05,3786,Good,46.32,0.54,123.0,High,10.05,9.67,144180.30300746183
4016,1,2,1986,Partially,58.75,3.47,1495,Excellent,36.47,7.39,156.0,High,-3.97,2.93,704215.2865150478
4080,4,1,1951,Partially,88.8,4.9,8768,Good,3.27,8.32,148.0,Medium,14.41,6.0,925427.9902394979
768,3,1,2013,Partially,100.66,5.37,2642,Average,27.92,0.77,86.0,Medium,9.71,9.48,462598.19414878107
2276,5,2,1985,None,79.33,4.68,1456,Poor,17.81,3.3,,High,12.94,9.46,619432.8868585071
2962,3,1,1954,Fully,76.39,8.39,717,Good,40.95,7.94,198.0,Medium,3.8,2.57,616322.9974677039
1768,3,3,2013,None,89.51,7.8,4446,Average,17.85,4.98,94.0,Medium,-3.84,5.62,634565.795055005
1515,2,3,1956,Partially,95.72,8.14,2915,Good,32.56,6.98,182.0,High,-0.41,1.06,572241.3704630755
3222,5,3,2019,Partially,53.22,9.23,6695,Excellent,9.12,5.07,52.0,High,14.42,1.81,655508.6158153951
1583,1,3,1971,Partially,99.42,6.76,1967,Average,28.38,9.78,69.0,Low,7.38,9.53,581623.3138092976
4601,1,3,1995,None,69.29,6.92,3372,Excellent,15.4,9.37,110.0,Medium,-0.44,4.74,848369.1652806047
906,3,3,1989,Partially,91.26,7.78,532,Excellent,9.08,2.88,196.0,Low,4.66,2.35,547757.717614297
3576,3,3,2010,None,58.99,7.45,3987,,31.34,3.92,192.0,High,1.35,6.68,594105.4964493767
1485,4,3,1995,Fully,90.5,8.96,7287,,32.29,4.37,123.0,Medium,4.79,2.56,521428.44601340604
4103,5,3,1977,Partially,53.49,8.16,9116,Excellent,49.18,1.13,106.0,High,11.73,9.82,769940.5601624193
4985,3,2,1984,Partially,91.82,2.96,5382,Average,33.79,4.1,119.0,Medium,-0.55,7.04,995665.6906423141
1209,4,2,1950,Partially,84.65,9.43,3578,Good,26.27,7.77,160.0,High,2.98,4.32,532691.943481422
3118,5,3,1978,Partially,51.42,7.46,7138,Good,45.72,8.48,139.0,Medium,3.92,4.43,635213.5687770111
1911,1,2,1958,Partially,94.13,3.02,5362,Good,41.59,8.87,,Low,6.74,9.25,516002.1997311943
1985,4,2,1958,Partially,60.36,8.18,2317,Good,27.89,0.24,98.0,Medium,-3.45,9.06,412953.8902330013
3450,5,3,1971,Partially,92.14,4.87,6367,,26.06,7.91,180.0,High,-0.86,9.55,795287.0646438668
3434,4,3,2012,Partially,77.17,8.45,5973,Poor,47.16,5.08,197.0,High,2.96,5.08,718686.9155139544
4614,3,2,2015,Partially,56.31,9.64,4794,Poor,31.24,2.14,143.0,Medium,11.19,8.66,729598.6542380276
1503,2,3,2007,Partially,59.8,4.04,1214,Good,35.98,5.04,,Medium,-1.26,5.36,399064.5764408818
2966,1,3,2019,Fully,133.54,8.86,3707,Poor,5.25,8.46,197.0,Medium,12.63,6.7,1017928.2442872701
2966,3,3,2004,None,109.61,8.19,4480,Good,36.2,4.4,109.0,Low,1.78,5.57,804161.5746081374
2438,3,3,1962,None,71.84,7.37,4883,Excellent,13.97,9.91,147.0,Low,0.08,6.47,623787.7494613978
2439,5,2,1968,Fully,81.37,5.08,2524,Average,6.66,6.21,130.0,Medium,3.19,5.59,680185.2235279409
2135,4,1,1982,Fully,93.05,2.88,7362,Excellent,42.63,4.95,91.0,High,6.07,2.39,657201.3077126364
2198,1,2,2014,Fully,55.62,5.87,3114,Excellent,34.87,3.02,122.0,Low,9.68,1.98,486992.2527707956
2591,3,1,2009,None,85.35,2.85,1310,Poor,20.97,0.21,76.0,High,4.54,9.47,655994.0919907236
2395,5,1,1961,None,89.81,6.0,2530,,22.14,6.14,130.0,High,11.36,5.59,632727.7993920164
4740,1,1,1992,Fully,80.43,8.56,6533,Excellent,10.66,5.82,66.0,High,11.37,9.48,887877.5190608292
3898,4,2,1966,None,95.86,9.98,2472,Average,1.47,5.22,162.0,Low,-4.97,7.17,847467.925695205
1573,3,2,2017,Fully,77.29,3.58,8454,Average,18.12,5.42,179.0,High,10.83,1.8,481791.25736524124
2902,3,2,1978,Fully,91.58,3.66,9408,Poor,8.27,8.45,64.0,High,3.86,2.81,753024.2361361448
3712,3,2,2004,None,78.54,8.49,1324,Good,21.66,3.24,167.0,High,14.34,7.91,778653.538958281
4537,1,2,1956,None,51.99,5.75,2227,Average,41.86,5.55,122.0,High,11.4,2.6,717646.929982254
1651,1,1,1993,None,89.08,9.33,8003,Average,6.62,6.83,63.0,Medium,2.68,1.07,674754.8732886541
2945,1,2,1954,Partially,94.53,8.15,5621,Average,5.5,2.18,57.0,Medium,7.69,2.01,769842.4076665947
2456,1,1,2009,Partially,,7.89,2732,Average,45.2,9.26,125.0,Medium,-1.12,5.29,465477.12831167097
4407,5,2,1955,None,,2.82,6180,Good,37.51,7.4,184.0,Medium,0.81,2.47,742815.4216896105
1307,2,2,1956,Partially,88.02,2.29,7245,Good,3.6,0.63,116.0,High,-0.96,1.41,558489.2175758899
686,5,3,1995,Fully,79.75,4.53,8105,Poor,4.9,8.66,52.0,Medium,10.02,7.69,502534.985449373
1807,3,1,2006,Partially,79.46,3.74,1262,Good,34.56,9.31,181.0,Low,-4.84,9.75,597462.5509311225
2784,5,2,2003,None,77.84,7.7,521,Excellent,19.15,7.96,173.0,High,3.15,9.81,635434.8068850422
1257,4,2,1995,None,90.12,5.61,2759,Average,36.48,4.32,63.0,High,11.75,9.1,510256.1385201583
4731,1,2,1959,Partially,79.32,6.19,5061,Good,20.82,9.94,180.0,High,9.18,1.17,941933.0227735077
4354,4,3,1953,None,67.88,8.51,7632,Good,48.42,1.33,190.0,Medium,3.44,3.16,825569.4013880631
4766,4,1,2016,Fully,50.77,5.83,3805,Excellent,35.03,5.41,185.0,Medium,7.66,2.24,720709.8601050636
2706,3,2,1974,Partially,68.08,6.36,8270,Average,3.28,1.79,179.0,Medium,3.64,6.76,735047.7782897286
4058,1,2,2010,Partially,88.64,8.74,5392,Poor,17.19,4.45,151.0,High,11.88,8.65,1083112.3858578461
2080,4,2,1987,Fully,69.98,5.45,9112,Average,28.62,9.28,165.0,Low,6.45,6.15,551754.5809397731
1461,3,3,1981,None,88.62,2.67,4936,Good,7.95,7.96,95.0,Low,7.65,4.12,614758.6828157639
4347,1,2,1972,None,53.79,6.17,7597,Poor,1.12,7.84,80.0,High,14.77,9.21,782643.783822939
4075,2,1,1986,Fully,59.83,6.63,7314,Good,4.89,3.6,140.0,Medium,10.4,5.55,697442.1651107065
1375,3,1,1952,None,58.95,6.09,8814,Good,26.69,9.35,84.0,Medium,0.72,2.57,381885.24792321736
2918,5,1,1962,Partially,77.03,4.06,5467,Good,31.98,3.75,111.0,Medium,10.46,5.8,677711.3075220993
4698,1,1,1983,Partially,101.88,3.79,9125,Poor,5.55,0.5,114.0,Medium,13.57,1.16,944859.0455894418
1501,4,2,2014,None,108.66,4.96,6831,Excellent,33.59,6.41,139.0,Low,0.9,1.35,1180105.6629881146
3884,4,3,1957,Fully,90.86,3.33,4665,Average,31.24,3.69,93.0,Medium,11.35,6.65,957959.4420722064
4566,5,3,1958,None,45.63,7.33,3982,Good,47.05,1.62,148.0,High,-0.24,7.51,675996.6608555953
3345,5,3,1977,Partially,,6.92,8537,Excellent,42.19,9.35,100.0,Medium,3.68,2.24,683261.2985417853
1981,4,2,1967,None,29.42,7.06,3384,Poor,47.22,6.41,157.0,High,8.8,5.8,242109.4477103865
3801,1,3,1991,Partially,77.48,3.8,3138,Good,48.34,9.41,137.0,High,-0.13,7.95,675949.8507744351
1157,3,1,1990,Fully,99.37,3.97,4377,Average,22.6,5.87,82.0,High,-1.25,8.94,529200.7562606081
3280,5,2,2019,Partially,,8.3,2115,Good,24.91,0.73,150.0,High,4.25,5.27,717914.256996179
922,5,3,1982,Fully,48.52,7.52,6504,Average,14.8,0.4,107.0,Low,10.66,2.1,351833.76150967914
4181,5,1,2003,Fully,95.83,9.0,4308,Average,25.91,9.02,164.0,Medium,6.92,1.62,857671.6707222112
4766,2,1,1985,Fully,93.06,5.23,726,Good,8.39,0.48,75.0,Low,9.02,8.71,891916.6051236201
3210,1,2,2005,None,98.15,6.38,1035,Good,33.9,6.19,166.0,Low,8.79,1.7,750740.4261102004
952,1,2,1966,None,91.64,7.91,1622,Poor,2.22,3.05,124.0,High,5.89,8.36,505482.96214464685
2897,1,3,1959,None,67.11,9.79,4865,Average,12.55,6.91,142.0,High,1.31,4.93,520857.7627989382
2475,1,3,1993,None,47.18,9.92,7589,Good,11.2,2.92,106.0,High,3.43,4.93,510630.3386385327
2157,1,3,1951,None,92.56,9.99,5713,,46.96,0.47,,Medium,2.61,5.67,520895.22971189494
3041,4,2,1963,Fully,86.65,9.12,4034,Average,8.1,7.34,122.0,Medium,-3.42,2.22,750298.8737702229
3575,5,3,1990,None,45.42,7.12,1158,Excellent,44.65,3.18,57.0,Medium,12.97,7.68,591153.959101644
3664,4,3,1951,None,60.54,2.06,7718,Good,7.09,5.55,140.0,Low,7.84,3.7,848332.6905760384
3466,2,1,1968,Fully,60.96,7.6,9858,Poor,32.88,7.76,175.0,Low,12.14,6.38,982633.6942501327
2553,3,1,1950,Partially,85.91,3.91,5491,Poor,16.67,7.06,83.0,High,10.52,1.05,1061525.552716653
787,5,1,1951,Partially,74.77,2.46,8708,Average,16.48,3.55,118.0,Low,-3.63,3.53,394962.7332288035
3717,2,3,1976,None,71.04,7.58,2403,Excellent,49.92,7.5,59.0,Low,-0.67,1.36,701407.2293486347
4354,4,2,1951,Partially,68.71,8.05,2112,Poor,12.08,9.26,71.0,Medium,14.01,3.82,881711.4629464094
1947,3,1,2000,None,58.11,7.28,5897,Average,10.93,6.14,189.0,High,4.24,2.14,606313.1759836262
1107,2,2,1959,Fully,89.48,4.92,9127,Good,29.88,7.06,55.0,High,11.24,1.63,554170.16352239
2264,3,3,1968,Fully,64.1,6.09,3955,Average,37.3,8.67,159.0,High,6.51,8.63,599563.0804162321
1725,2,3,1962,None,92.44,9.48,2504,Average,49.14,8.45,56.0,High,11.47,4.28,575010.8972683228
1735,4,1,1997,Fully,54.1,7.84,3233,Excellent,35.37,3.58,146.0,Medium,9.69,8.43,367857.6732523735
1529,3,2,2005,Partially,,6.04,5751,,28.53,9.92,159.0,Medium,0.59,9.03,436862.46576897375
3171,2,1,2021,Partially,104.47,6.75,8954,Poor,21.05,0.38,62.0,High,14.82,5.55,848169.5164765517
4462,4,3,2005,None,78.52,9.42,2941,Excellent,30.16,9.87,112.0,High,4.81,6.11,850636.1851818463
3677,5,2,1999,Fully,67.64,5.15,8450,Poor,30.44,2.54,73.0,High,6.7,6.82,793119.662368356
4222,4,1,1994,Fully,65.58,2.81,6541,Poor,11.67,4.46,143.0,High,5.81,6.8,770192.1941136954
1975,4,3,2008,Partially,61.96,4.61,6851,Excellent,33.89,8.85,146.0,Low,12.7,5.77,522601.016964299
3396,5,1,1988,Partially,81.81,5.32,1307,Good,11.02,2.52,133.0,High,0.6,6.35,703811.78685561
1308,4,2,1970,Partially,88.48,4.18,3012,Good,25.01,2.33,68.0,High,-3.77,4.97,639998.8897169934
1478,5,2,2004,None,78.77,6.23,857,Good,13.73,6.47,132.0,High,3.56,9.25,1352652.613888885
2963,5,2,2006,None,,4.44,7811,Average,16.33,7.08,137.0,Medium,13.37,7.49,709349.4130423598
1225,5,2,1990,None,84.02,2.83,2901,Good,31.08,0.17,118.0,Medium,3.79,3.83,520548.0694623375
3001,2,2,2019,Fully,53.93,3.5,1774,Poor,4.16,4.56,199.0,Medium,0.55,4.02,575822.1055786856
3862,3,1,1998,Partially,80.67,9.35,1488,Poor,1.59,4.94,109.0,Medium,7.37,5.1,728278.3305318105
1716,2,1,1993,None,81.52,7.04,517,,7.4,2.79,71.0,High,9.75,1.28,496356.781185853
4551,5,1,1984,Partially,79.01,4.51,2238,Good,9.27,5.51,141.0,High,4.26,9.92,876479.2049518727
2697,3,1,1954,Fully,66.67,4.94,3263,Good,10.7,1.63,194.0,Medium,2.6,5.21,1945159.909743588
3306,3,3,2020,None,63.37,5.95,7128,Good,38.92,3.3,144.0,Medium,2.29,7.98,657217.5222145475
1278,5,3,2000,Partially,55.49,7.39,5621,Good,22.9,7.16,184.0,High,3.43,2.42,386743.9613791359
1472,3,1,2006,None,97.06,6.66,1413,Excellent,24.03,8.75,,Medium,11.85,6.48,1743321.397523154
3310,3,3,2007,Fully,,9.46,9257,Excellent,32.57,5.93,184.0,High,4.65,4.44,647116.1308649603
2623,2,3,1985,Partially,68.64,7.01,7833,Excellent,36.73,0.84,78.0,Medium,1.29,9.01,513462.27453418454
1098,3,2,1959,None,67.18,9.29,3412,Poor,1.17,6.82,53.0,Medium,-1.35,9.39,405002.3673855014
3841,5,1,1999,Partially,60.65,2.04,1971,Good,42.98,8.99,153.0,Medium,0.65,6.62,716264.3449266489
724,1,3,1986,Fully,66.96,9.12,3663,Excellent,49.43,5.09,167.0,Medium,4.25,1.55,264092.2910553571
1340,1,3,1969,Fully,93.17,7.77,5871,Average,6.97,4.99,65.0,Medium,5.96,5.2,615451.4537945032
2314,1,1,1962,Fully,83.73,3.38,9303,Excellent,32.9,9.91,129.0,Low,7.43,1.15,498840.8958519088
1606,5,2,1968,Partially,87.43,4.1,9754,Excellent,1.12,6.4,135.0,Medium,-3.57,5.66,680592.0556939468
624,1,1,2005,None,89.39,6.34,9127,Average,3.4,8.08,124.0,Medium,7.26,5.51,1113813.7991301813
3746,2,2,1994,Fully,108.0,3.0,9339,Good,14.97,6.5,90.0,High,2.04,4.76,947633.6870389017
3431,5,3,2009,Fully,75.42,8.28,4517,Excellent,42.47,2.29,109.0,Medium,0.14,4.03,669581.6158323287
4625,5,2,2017,Partially,68.58,8.33,3109,Good,32.97,2.91,107.0,High,1.62,6.21,840654.3535173028
3471,5,2,2006,Partially,81.56,4.41,582,Good,22.85,6.69,161.0,Low,10.69,2.59,846066.4500049723
2517,3,1,2003,Partially,,2.56,2289,Good,22.49,4.62,89.0,Low,11.07,1.24,623915.3368048652
2915,3,3,1986,None,74.49,9.91,9742,Average,23.84,4.1,107.0,Low,-2.92,8.08,635522.2688449831
3596,3,1,1986,None,61.59,4.01,6208,Good,16.24,0.32,126.0,High,4.89,8.07,652928.8635802896
2109,4,1,1963,Fully,77.79,2.54,8473,Good,44.01,8.86,97.0,High,5.59,6.21,596884.0927258789
1217,2,3,1993,Partially,83.17,4.64,4616,Average,28.83,8.86,139.0,High,-4.4,8.47,517667.317626199
4061,5,1,1991,Partially,,9.75,6026,Poor,24.71,4.66,60.0,Low,9.34,5.62,697798.1855613044
1516,5,1,1950,Fully,47.44,8.34,3241,Average,23.79,7.04,105.0,High,2.34,1.06,414242.7705042898
4065,3,2,1972,Partially,51.15,5.84,1297,Good,46.86,1.86,72.0,Medium,3.36,2.33,658808.2504746282
4970,5,1,2013,None,85.75,4.44,3026,Good,36.46,5.09,82.0,High,7.2,5.14,928272.4414273456
2460,5,3,1977,Fully,69.42,5.39,5251,Good,8.1,4.44,165.0,High,4.38,8.76,725438.240846584
1548,1,1,1953,Fully,108.37,2.14,8231,Average,22.41,6.6,77.0,High,9.96,3.03,632199.4027224283
1857,5,2,1990,None,95.12,7.75,1262,Average,15.13,4.75,164.0,Low,6.92,1.31,611248.8455114026
3926,4,1,2009,Partially,55.98,2.8,9309,Good,49.36,5.03,181.0,Low,-0.48,4.71,668672.0298465888
615,3,1,1967,Partially,90.4,6.15,5306,Excellent,21.35,3.03,187.0,High,12.41,1.6,548785.9276064966
2595,2,1,2012,Partially,99.01,6.53,4363,Good,4.33,0.58,101.0,High,-0.68,5.95,728000.9545556484
2301,2,2,2010,None,68.32,2.01,4186,Good,21.15,9.18,58.0,Low,9.27,1.5,520922.71871003066
2646,1,3,1998,Fully,73.71,9.84,1267,Poor,16.75,0.22,67.0,High,10.84,1.15,559038.9753275382
2120,2,3,1996,Fully,66.78,4.42,6101,Good,30.38,2.89,131.0,High,8.77,9.49,545681.9617182722
3450,2,2,1988,Fully,58.16,2.62,3685,Excellent,12.08,4.53,115.0,Low,3.44,6.99,642055.7548277151
4292,3,2,1955,None,98.65,8.84,9712,Average,2.76,3.26,71.0,Low,12.56,2.08,902434.470264768
3441,3,1,2002,Partially,36.15,3.22,7929,Excellent,5.7,5.56,129.0,High,1.55,6.01,607687.9929985804
1477,4,3,1974,None,64.88,2.2,1577,Good,14.87,4.67,150.0,High,8.74,3.33,584113.8741952801
3566,1,2,2014,None,68.66,5.96,2390,Good,18.07,2.63,145.0,High,12.55,7.85,643333.2963402957
1283,2,3,1954,Partially,77.36,3.04,2126,Good,41.89,0.97,123.0,Medium,-1.89,8.33,417326.6760193465
740,4,1,2014,Fully,56.4,9.86,7146,Good,14.23,1.46,154.0,Medium,8.05,5.57,314634.4413527545
2053,1,2,1957,Partially,95.32,2.08,2071,Good,2.54,4.91,65.0,High,13.02,4.69,687528.3184195055
1512,2,3,1988,Fully,47.46,2.41,4175,Excellent,39.26,8.47,98.0,Low,-2.94,3.85,432239.62068403047
686,2,3,1992,None,47.68,8.67,5932,Good,43.58,1.1,147.0,Medium,-2.08,1.3,288149.9650996084
2381,3,1,2022,Partially,75.87,3.92,9884,Good,25.12,6.8,150.0,Low,2.57,6.05,1025378.8934572705
930,5,2,1954,Fully,,9.29,5273,Average,14.96,7.94,112.0,High,14.89,5.58,424625.1404601972
738,1,3,1953,Partially,78.12,4.49,5544,Good,38.83,2.84,105.0,Low,-0.52,2.92,324319.9944472401
2845,2,1,1950,Fully,63.9,2.56,9820,Good,1.44,6.72,147.0,Low,1.49,5.79,621721.551106554
575,1,3,2005,Partially,87.11,2.08,9807,Good,46.28,6.9,157.0,High,11.7,5.21,348744.1829030412
1856,4,1,1994,Fully,61.08,4.26,5308,Excellent,43.41,7.11,126.0,High,-2.39,3.35,376814.7426320439
2830,4,3,2014,Partially,96.67,5.79,4252,Excellent,27.7,8.92,,High,14.92,7.69,826546.527157419
2402,5,3,1952,Partially,,2.01,1828,Average,14.6,4.05,189.0,Medium,9.78,3.21,667969.7108825223
4513,2,1,1971,Partially,63.63,6.65,4623,Good,2.61,2.51,142.0,High,14.18,5.06,864693.119446184
2559,3,2,2021,Partially,84.36,4.67,1811,Average,49.99,5.48,147.0,High,-2.11,5.8,687535.2902097676
640,2,1,2005,Fully,77.19,5.12,4950,Excellent,38.34,0.72,81.0,High,-0.35,8.3,298013.35090320377
2289,1,2,1967,Partially,86.78,4.09,3225,Average,17.6,3.41,157.0,Low,2.42,4.78,623843.1430727214
4126,4,3,1974,Partially,83.99,6.23,8071,Poor,1.94,8.84,123.0,Medium,-3.98,2.86,903805.2397524916
516,1,3,1997,Partially,80.39,3.84,2683,Good,32.33,5.37,121.0,High,-3.79,1.13,432735.82962387917
4848,5,1,1980,None,75.97,3.08,653,Good,49.36,4.42,70.0,High,13.08,3.27,907599.1171213055
964,4,1,1979,Fully,88.57,9.13,6082,Good,35.65,2.73,189.0,Medium,-4.15,7.75,450875.2699403301
4971,3,2,2015,Partially,92.56,5.12,1315,Average,5.1,2.58,152.0,High,10.0,8.38,988930.2637437289
2327,4,2,1959,Partially,77.05,2.62,1619,Excellent,20.71,2.44,147.0,Medium,9.35,6.41,613819.7901414635
3528,2,2,2020,Partially,84.09,3.84,2655,,6.35,8.31,111.0,Medium,-3.54,9.53,815398.1584966958
1019,2,1,2008,None,,4.48,5665,Average,45.7,9.85,87.0,High,-1.25,5.7,447052.90955053444
589,4,3,2000,Fully,99.1,8.16,1709,Good,17.19,5.39,147.0,High,4.1,5.31,570063.9839853393
3351,5,1,1958,None,96.48,2.18,9145,Good,36.94,0.89,159.0,High,7.83,8.5,798472.9442482715
3343,2,3,2003,Fully,90.45,5.83,6928,,5.15,7.54,89.0,Low,12.92,2.5,831610.2185238261
2384,2,1,2011,Partially,68.79,5.26,1606,Average,7.29,8.78,193.0,Medium,5.54,1.14,595388.9910674047
4671,3,1,1958,None,55.31,9.75,4916,Excellent,34.29,9.32,68.0,Low,13.73,8.94,710392.9059515672
1425,4,2,1958,Fully,83.39,3.44,5764,Good,42.33,6.32,78.0,High,-1.19,5.81,586812.8595031437
4234,2,3,1973,None,83.28,7.02,1537,Good,10.87,5.12,158.0,Low,7.46,7.7,902637.8121616162
1469,5,1,1988,Fully,69.05,3.62,3833,Good,21.5,6.24,134.0,Medium,11.89,6.66,447415.80512026924
1594,1,1,1957,None,54.99,6.39,913,Good,31.35,0.23,59.0,High,-0.33,6.97,312691.67077119753
3695,4,3,1974,Partially,99.84,6.44,8404,Average,40.02,6.59,165.0,Medium,10.77,6.29,865597.177044112
1904,3,1,2015,Partially,81.38,2.6,2439,Average,31.78,7.13,157.0,Medium,3.01,7.53,650996.8203471123
3864,2,3,1959,None,56.88,5.65,1155,Average,5.68,7.25,56.0,High,14.99,2.02,748703.9884712768
4790,5,2,1973,Partially,73.1,5.69,7957,Average,27.6,5.67,68.0,Medium,-3.17,3.26,937123.0428196047
4482,4,2,2008,Fully,54.84,4.55,2979,Average,44.35,7.03,,Low,6.07,5.31,738339.9508115364
4823,5,3,1980,None,85.23,4.22,6139,,43.53,6.42,82.0,High,10.66,7.45,950249.7238949871
4513,5,2,1960,Fully,102.75,3.79,6421,Poor,29.67,1.24,72.0,Low,8.52,3.78,1051442.9285049757
3592,3,3,1955,Partially,72.21,2.05,7020,Good,49.79,8.99,135.0,Medium,5.11,8.26,782337.1988715697
4659,4,1,2019,None,73.61,2.01,4106,Good,6.15,6.27,149.0,Medium,5.26,1.59,854881.369007604
2574,2,1,1981,Partially,70.86,6.72,5703,Good,24.45,7.31,159.0,Low,3.11,8.12,565837.5588083864
784,3,3,1988,Fully,71.63,4.33,4558,Good,38.98,3.49,198.0,Medium,1.85,7.29,352994.8387536546
1687,2,1,1997,Fully,63.36,3.34,5504,Good,7.91,9.2,131.0,High,6.87,1.59,498846.5863129721
4469,1,2,1962,Fully,,7.48,6968,Excellent,48.66,5.08,151.0,Medium,9.97,1.28,856262.5243187387
3465,5,1,2008,Partially,77.93,6.23,8515,Average,18.35,6.82,140.0,High,0.59,8.56,695608.4266992052
4819,1,1,2016,Fully,75.95,9.32,815,,18.16,9.53,86.0,Medium,13.93,2.3,828140.8808034606
1283,5,3,2005,None,71.61,8.65,6563,Good,11.45,9.17,98.0,Medium,2.3,3.28,573646.8343812181
1449,3,2,1990,Partially,55.91,7.81,8912,Poor,15.11,6.48,88.0,High,3.68,9.07,432901.53734102554
4439,2,1,2005,None,89.08,3.01,6541,Good,29.3,1.74,79.0,Low,3.22,4.09,819159.9440784303
544,2,1,1984,None,96.34,7.33,2761,Excellent,22.04,9.51,92.0,Medium,-2.77,5.77,455569.5675710711
2310,3,3,1987,None,47.08,7.55,8139,Average,10.48,9.84,,High,-2.68,1.28,486591.0757839269
2581,4,3,2016,Fully,85.64,8.11,1344,Good,40.65,1.12,,Low,10.91,6.12,676907.4347930092
3998,1,2,1983,Partially,87.94,4.11,2014,Good,4.05,4.56,144.0,Medium,2.63,7.42,759004.3868036048
1329,1,1,2019,Partially,94.26,7.12,1608,Good,41.9,5.53,51.0,Medium,-0.68,6.09,493014.4952620874
2409,2,3,1960,Fully,93.08,6.95,5623,Good,14.47,1.01,96.0,High,9.15,8.28,749005.0944048918
3081,2,3,1976,Partially,114.54,5.08,2230,Excellent,25.3,1.98,,Medium,14.19,7.99,782926.801032243
1191,2,3,1997,None,,7.31,3685,Good,19.67,5.42,72.0,Low,13.74,5.31,524997.4886144126
4519,3,2,1973,Fully,89.89,2.69,1738,Excellent,28.96,9.63,183.0,High,9.47,6.81,865177.978413817
1431,4,3,1967,Fully,75.19,7.15,5955,Good,40.0,0.38,134.0,Medium,-1.17,3.49,535845.2149875229
3906,1,2,1976,Fully,62.96,6.85,3424,Poor,49.48,9.13,90.0,High,-1.92,4.23,646448.8765696018
647,5,2,2003,None,85.62,3.68,7296,Good,16.0,9.0,91.0,High,12.42,6.6,567777.435946094
1532,3,1,2004,None,,8.55,9882,Average,28.14,8.59,121.0,High,14.26,6.94,589997.1373023563
1811,1,1,1970,Fully,80.13,9.0,6539,Good,23.83,3.84,187.0,Medium,7.45,1.77,479168.5760410872
887,4,2,2008,Partially,50.1,3.68,4066,Average,49.95,4.96,161.0,High,13.03,8.37,309749.4139569622
3621,3,1,1983,None,53.27,2.61,1956,Excellent,40.64,4.1,99.0,Medium,11.3,6.73,729584.1872051224
2373,1,1,2007,Partially,86.51,6.83,1609,Good,20.46,9.48,124.0,High,-1.92,3.95,476757.103871935
4088,3,3,1997,None,69.51,5.84,2430,Good,24.37,5.26,185.0,Low,-0.54,3.04,722197.0335089487
1415,1,1,2003,Fully,80.34,5.42,8203,Average,13.05,0.9,50.0,Medium,-3.64,6.43,525708.4360273257
2378,1,2,1967,Partially,82.24,8.09,1122,Excellent,38.01,2.81,50.0,Medium,4.48,7.26,530195.2084803281
4248,4,1,1952,Partially,73.28,9.76,2837,Good,42.42,4.67,76.0,High,1.48,9.36,843697.9167819413
777,5,3,1973,None,71.16,5.82,1758,Excellent,48.28,9.54,158.0,Medium,3.52,2.66,372869.78269265447
2477,4,2,1950,Fully,73.05,2.05,6800,Good,28.73,5.73,174.0,Medium,-4.83,5.53,656825.8316131773
2359,1,1,1955,Fully,83.87,6.77,5001,Average,33.86,6.99,72.0,High,9.42,9.6,583931.5312104838
3536,3,2,1968,Partially,82.2,7.23,8340,Average,22.86,0.98,188.0,High,-0.99,9.19,739417.8308651942
3871,4,1,1992,Partially,63.02,8.62,7789,Excellent,30.85,8.79,158.0,High,2.37,5.3,711227.7661427618
2682,5,3,1957,None,74.78,3.6,2523,,18.09,5.44,188.0,Medium,3.05,5.97,724435.1622765881
1670,1,1,2018,None,59.09,6.19,1376,Good,37.15,9.22,149.0,Medium,-3.68,9.25,390121.69102369744
989,4,2,2001,Fully,82.72,5.58,7690,Poor,2.11,4.51,151.0,Medium,2.31,1.29,590458.1191052853
